experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
31,50,20000,10,1000000000.0,1e-08,1e-08,0.11980005989672353,0,10,0,0,10,0,0,10,0,1,6,3,1,6,3
31,50,50000,10,1000000000.0,1e-08,1e-08,0.11980005989672353,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
32,50,5000,10,1000000000.0,1e-08,1e-08,0.12303745871640175,0,10,0,0,10,0,0,10,0,6,2,2,6,2,2
32,50,20000,10,1000000000.0,1e-08,1e-08,0.12303745871640175,0,9,1,0,9,1,0,10,0,4,2,4,4,3,3
32,50,50000,10,1000000000.0,1e-08,1e-08,0.12303745871640175,0,10,0,0,10,0,0,10,0,2,8,0,2,8,0
33,50,5000,10,1000000000.0,1e-08,1e-08,0.12122954411215178,0,10,0,0,10,0,0,10,0,2,8,0,2,8,0
33,50,20000,10,1000000000.0,1e-08,1e-08,0.12122954411215178,0,10,0,0,10,0,0,10,0,4,6,0,5,5,0
33,50,50000,10,1000000000.0,1e-08,1e-08,0.12122954411215178,0,10,0,0,10,0,0,10,0,0,9,1,0,9,1
34,50,5000,10,1000000000.0,1e-08,1e-08,0.11926408079077985,2,8,0,2,8,0,2,8,0,3,2,5,3,2,5
34,50,20000,10,1000000000.0,1e-08,1e-08,0.11926408079077985,1,9,0,1,9,0,0,10,0,1,7,2,1,7,2
34,50,50000,10,1000000000.0,1e-08,1e-08,0.11926408079077985,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
35,50,5000,10,1000000000.0,1e-08,1e-08,0.11992442692760713,0,10,0,0,10,0,0,10,0,5,4,1,5,4,1
35,50,20000,10,1000000000.0,1e-08,1e-08,0.11992442692760713,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
35,50,50000,10,1000000000.0,1e-08,1e-08,0.11992442692760713,0,9,1,0,10,0,0,10,0,1,8,1,1,8,1
36,50,5000,10,1000000000.0,1e-08,1e-08,0.12044379650411889,0,10,0,0,10,0,0,10,0,3,6,1,3,6,1
36,50,20000,10,1000000000.0,1e-08,1e-08,0.12044379650411889,0,9,1,0,9,1,0,9,1,4,2,4,4,2,4
36,50,50000,10,1000000000.0,1e-08,1e-08,0.12044379650411889,0,9,1,0,9,1,0,10,0,2,8,0,2,8,0
37,50,5000,10,1000000000.0,1e-08,1e-08,0.12132469948311095,0,10,0,0,10,0,0,10,0,1,6,3,1,6,3
